state,income
alabama,15.85424497
alaska,10.74956124
arizona,18.05408691
arkansas,14.83255671
california,23.90305454
colorado,19.07296276
connecticut,28.15289184
delaware,25.45231687
district of columbia,17.24684387
florida,24.14589285
georgia,17.27533905
hawaii,12.13572535
idaho,15.18151207
illinois,20.32986179
indiana,14.88624678
iowa,13.25846246
kansas,15.14122492
kentucky,14.82767207
louisiana,15.03765286
maine,15.41017851
maryland,16.56638627
massachusetts,24.05989756
michigan,16.15647585
minnesota,16.26774216
mississippi,14.67826617
missouri,16.24168429
montana,13.67921035
nebraska,15.60986777
nevada,24.96692743
new hampshire,18.82703067
new jersey,21.36851547
new mexico,13.78717609
new york,26.87593743
north carolina,14.84905488
north dakota,11.24333147
ohio,14.31922418
oklahoma,14.07803134
oregon,15.71839462
pennsylvania,17.32470495
rhode island,16.51104432
south carolina,15.1902165
south dakota,17.20327756
tennessee,16.86799772
texas,18.89704842
utah,15.90111052
vermont,14.76402457
virginia,16.76706039
washington,26.77636469
west virginia,12.72209857
wisconsin,15.19517876
wyoming,25.40224659
