state,income,abb,year2012,year1999
alabama,0.80268608,AL,16.65693105,15.85424497
alaska,2.25462483,AK,13.00418607,10.74956124
arizona,0.37776189,AZ,18.4318488,18.05408691
arkansas,5.48523311,AR,20.31778982,14.83255671
california,1.40263705,CA,25.30569159,23.90305454
colorado,1.57515903,CO,20.64812179,19.07296276
connecticut,4.85496295,CT,33.00785479,28.15289184
delaware,-10.169566,DE,15.28275087,25.45231687
district of columbia,6.60529224,DC,23.85213611,17.24684387
florida,5.38056556,FL,29.52645841,24.14589285
georgia,0.92123889,GA,18.19657794,17.27533905
hawaii,0.37105271,HI,12.50677806,12.13572535
idaho,1.90376357,ID,17.08527564,15.18151207
illinois,2.04854188,IL,22.37840367,20.32986179
indiana,0.60280388,IN,15.48905066,14.88624678
iowa,1.36497941,IA,14.62344187,13.25846246
kansas,2.9268944,KS,18.06811932,15.14122492
kentucky,0.43468169,KY,15.26235376,14.82767207
louisiana,3.82887748,LA,18.86653034,15.03765286
maine,-1.04974185,ME,14.36043666,15.41017851
maryland,-1.03795728,MD,15.52842899,16.56638627
massachusetts,1.01251646,MA,25.07241402,24.05989756
michigan,3.57749995,MI,19.7339758,16.15647585
minnesota,2.34012101,MN,18.60786317,16.26774216
mississippi,0.36603132,MS,15.04429749,14.67826617
missouri,2.41048782,MO,18.65217211,16.24168429
montana,5.03813309,MT,18.71734344,13.67921035
nebraska,1.65945248,NE,17.26932025,15.60986777
nevada,4.93265687,NV,29.8995843,24.96692743
new hampshire,-0.97059082,NH,17.85643985,18.82703067
new jersey,-0.57584776,NJ,20.79266771,21.36851547
new mexico,1.37942714,NM,15.16660323,13.78717609
new york,4.98289173,NY,31.85882916,26.87593743
north carolina,1.79641362,NC,16.6454685,14.84905488
north dakota,9.02726665,ND,20.27059812,11.24333147
ohio,2.71145516,OH,17.03067934,14.31922418
oklahoma,6.31018798,OK,20.38821932,14.07803134
oregon,0.66039391,OR,16.37878853,15.71839462
pennsylvania,1.8594705,PA,19.18417545,17.32470495
rhode island,0.92503694,RI,17.43608126,16.51104432
south carolina,1.53172966,SC,16.72194616,15.1902165
south dakota,2.32944984,SD,19.5327274,17.20327756
tennessee,1.92176635,TN,18.78976407,16.86799772
texas,5.11122599,TX,24.00827441,18.89704842
utah,3.01926541,UT,18.92037593,15.90111052
vermont,0.2317371,VT,14.99576167,14.76402457
virginia,-0.09190828,VA,16.67515211,16.76706039
washington,-6.11316847,WA,20.66319622,26.77636469
west virginia,0.96267411,WV,13.68477268,12.72209857
wisconsin,2.51263824,WI,17.707817,15.19517876
wyoming,4.30103491,WY,29.7032815,25.40224659
